Source	Source primary accession	Source secondary accession	Target	Target primary accession	Target secondary accession
snOPYdb	Arabidopsis_thaliana300136	SnoR95	sequence	LN809412	
snOPYdb	Arabidopsis_thaliana300137	SnoR96	sequence	LN809413	
snOPYdb	Arabidopsis_thaliana300138	SnoR97	sequence	LN809414	
snOPYdb	Arabidopsis_thaliana300140	SnoR99	sequence	LN809416	
snOPYdb	Arabidopsis_thaliana300141	U14a	sequence	LN809417	
snOPYdb	Arabidopsis_thaliana300142	U14c	sequence	LN809419	
snOPYdb	Arabidopsis_thaliana300143	U14b	sequence	LN809418	
snOPYdb	Arabidopsis_thaliana300144	U14d	sequence	LN809420	
snOPYdb	Arabidopsis_thaliana300145	U15-2	sequence	LN809423	
snOPYdb	Arabidopsis_thaliana300146	U15-1a	sequence	LN809421	
snOPYdb	Arabidopsis_thaliana300147	U15-1b	sequence	LN809422	
snOPYdb	Arabidopsis_thaliana300148	U16	sequence	LN809424	
snOPYdb	Arabidopsis_thaliana300149	U18-1	sequence	LN809425	
snOPYdb	Arabidopsis_thaliana300150	U18-2	sequence	LN809426	
snOPYdb	Arabidopsis_thaliana300151	U19	sequence	LN809427	
snOPYdb	Arabidopsis_thaliana300152	U24-2	sequence	LN809429	
snOPYdb	Arabidopsis_thaliana300153	U24-1	sequence	LN809428	
snOPYdb	Arabidopsis_thaliana300154	U27-1	sequence	LN809430	
snOPYdb	Arabidopsis_thaliana300155	U29	sequence	LN809431	
snOPYdb	Arabidopsis_thaliana300156	U30	sequence	LN809432	
snOPYdb	Arabidopsis_thaliana300157	U31b	sequence	LN809434	
snOPYdb	Arabidopsis_thaliana300158	U31a	sequence	LN809433	
snOPYdb	Arabidopsis_thaliana300159	U33a	sequence	LN809435	
snOPYdb	Arabidopsis_thaliana300160	U33b	sequence	LN809436	
snOPYdb	Arabidopsis_thaliana300161	U34a	sequence	LN809437	
snOPYdb	Arabidopsis_thaliana300162	U34b	sequence	LN809438	
snOPYdb	Arabidopsis_thaliana300163	U34c	sequence	LN809439	
snOPYdb	Arabidopsis_thaliana300164	U35	sequence	LN809441	
snOPYdb	Arabidopsis_thaliana300165	U36	sequence	LN809442	
snOPYdb	Arabidopsis_thaliana300166	U36a-3	sequence	LN809445	
snOPYdb	Arabidopsis_thaliana300167	U36a-1	sequence	LN809443	
snOPYdb	Arabidopsis_thaliana300168	U36a-2	sequence	LN809444	
snOPYdb	Arabidopsis_thaliana300169	U37	sequence	LN809446	
snOPYdb	Arabidopsis_thaliana300170	U38-3	sequence	LN809449	
snOPYdb	Arabidopsis_thaliana300171	U38-1	sequence	LN809447	
snOPYdb	Arabidopsis_thaliana300172	U38-2	sequence	LN809448	
snOPYdb	Arabidopsis_thaliana300173	U43-2	sequence	LN809452	
snOPYdb	Arabidopsis_thaliana300174	U43-1	sequence	LN809451	
snOPYdb	Arabidopsis_thaliana300175	U49-2	sequence	LN809454	
snOPYdb	Arabidopsis_thaliana300176	U49-1	sequence	LN809453	
snOPYdb	Arabidopsis_thaliana300177	U49-3	sequence	LN809455	
snOPYdb	Arabidopsis_thaliana300178	U51a	sequence	LN809456	
snOPYdb	Arabidopsis_thaliana300179	U51b	sequence	LN809457	
snOPYdb	Arabidopsis_thaliana300180	U53	sequence	LN809458	
snOPYdb	Arabidopsis_thaliana300181	U54	sequence	LN809459	
snOPYdb	Arabidopsis_thaliana300182	U55	sequence	LN809460	
snOPYdb	Arabidopsis_thaliana300184	U61	sequence	LN809463	
snOPYdb	Arabidopsis_thaliana300185	U65-2	sequence	LN809466	
snOPYdb	Arabidopsis_thaliana300186	U65-1	sequence	LN809465	
snOPYdb	Arabidopsis_thaliana300187	U65-3	sequence	LN809467	
snOPYdb	Arabidopsis_thaliana300188	U80-2	sequence	LN809469	
snOPYdb	Arabidopsis_thaliana300189	U80-1	sequence	LN809468	
snOPYdb	Arabidopsis_thaliana300190	U34d	sequence	LN809440	
snOPYdb	Arabidopsis_thaliana300192	U60.2F	sequence	LN809462	
snOPYdb	Arabidopsis_thaliana300193	SnoR24-pseud	sequence	LN809316	
