HG780872	Carso_ruddi_HteHT
HG781124	Lepto_inter_Lai566
HG781125	Lepto_inter_Lai566
HG781126	Lepto_inter_Lai566
HG781127	Lepto_inter_Lai566
HG781128	Lepto_inter_Lai566
HG781129	Lepto_inter_Lai566
HG781130	Lepto_inter_Lai566
HG781131	Lepto_inter_Lai566
HG781132	Lepto_inter_Lai566
HG781133	Lepto_borgp_JB197
HG781134	Lepto_borgp_JB197
HG781135	Lepto_borgp_JB197
HG781136	Lepto_borgp_JB197
HG781137	Lepto_borgp_L550
HG781138	Conex_woese_14684
HG781139	Marin_adhae_HP15
HG781140	Marin_sp_BSs201
HG781141	Marin_posid_IVIAPo
HG781142	Lepto_bifle_Patoc
HG781143	Lepto_bifle_Patoc
HG781144	Deino_maric_21211
HG781145	Spiro_lingu_74
HG781146	Emtic_oligo_17448
HG781147	gamma_prote_HdN1
HG781148	Campy_lari_RM2100
HG781149	Marin_aquae_VT8
HG781150	Marin_hydro
HG781151	Marin_hydro
HG781152	Marin_hydro
HG781153	Marin_hydro
HG781154	Marin_hydro
HG781155	Marin_hydro
HG781156	Marin_hydro
HG781157	Marin_hydro
HG781158	Marin_hydro
HG781159	Marin_hydro
HG781160	Galli_capsi_ES2
HG781161	Hahel_cheju_KCT239
HG781162	Geoba_sp_Y41MC1
HG781163	Geoba_sp_Y41MC1
HG781164	Geoba_sp_WCH70
HG781165	Geoba_therm_NG802
HG781166	Geoba_kaust_HTA426
HG781167	Geoba_kaust_HTA426
HG781168	Geoba_kaust_HTA426
HG781169	Geoba_kaust_HTA426
HG781170	Geoba_kaust_HTA426
HG781171	Geoba_kaust_HTA426
HG781172	Geoba_stear_10
HG781173	Geoba_stear_10
HG781174	Geoba_stear_10
HG781175	Nitro_sp_AL212
HG781176	Nitro_sp_Is79A3
HG781177	Petro_mobil_SJ95
HG781178	Kangi_koree_16069
HG781179	Lawso_intra_PHEMN1
HG781180	Lawso_intra_PHEMN1
HG781181	Lawso_intra_PHEMN1
HG781182	Lawso_intra_PHEMN1
HG781183	Lawso_intra_PHEMN1
HG781184	Lawso_intra_PHEMN1
HG781185	Hippe_marit_10411
HG781186	Turne_parva_21527
HG781187	Dehal_sp_VS
HG781188	Dehal_sp_VS
HG781189	Dehal_sp_CBDB1
HG781190	Dehal_sp_CBDB1
HG781191	Dehal_sp_CBDB1
HG781192	Dehal_sp_CBDB1
HG781193	Dehal_sp_CBDB1
HG781194	Dehal_ethen_195
HG781195	Dehal_ethen_195
HG781196	Dehal_ethen_195
HG781197	Dehal_lykan_BLDC9
HG781198	Eubac_limos_KIST61
HG781199	Selen_sputi_35185
HG781200	Selen_sputi_35185
HG781201	Selen_sputi_35185
HG781202	Enter_duran_CNRZ12
HG781203	Enter_duran_CNRZ12
HG781204	Enter_duran_CNRZ12
HG781205	Enter_duran_CNRZ12
HG781206	Enter_duran_CNRZ12
HG781207	Enter_faeci_35667
HG781208	Enter_faeci_35667
HG781209	Enter_faeci_35667
HG781210	Enter_faeci_35667
HG781211	Enter_faeci_35667
HG781212	Enter_faeci_35667
HG781213	Enter_faeci_35667
HG781214	Enter_faeci_35667
HG781215	Enter_faeci_35667
HG781216	Enter_faeci_35667
HG781217	Enter_faeci_35667
HG781218	Enter_faeci_35667
HG781219	Enter_faeci_35667
HG781220	Enter_faeci_35667
HG781221	Enter_faeci_35667
HG781222	Enter_faeci_35667
HG781223	Enter_faeci_35667
HG781224	Enter_faeci_35667
HG781225	Enter_faeci_35667
HG781226	Enter_faeci_35667
HG781227	Enter_faeci_35667
HG781228	Enter_faeci_35667
HG781229	Enter_faeci_35667
HG781230	Enter_faeci_35667
HG781231	Enter_faeci_35667
HG781232	Enter_faeci_35667
HG781233	Enter_faeci_35667
HG781234	Enter_faeci_35667
HG781235	Enter_faeci_35667
HG781236	Enter_faeci_35667
HG781237	Enter_faeci_35667
HG781238	Enter_faeci_35667
HG781239	Enter_faeci_35667
HG781240	Enter_faeci_35667
HG781241	Enter_faeci_35667
HG781242	Enter_faeci_35667
HG781243	Enter_faeci_35667
HG781244	Enter_faeci_35667
HG781245	Enter_faeci_35667
HG781246	Enter_faeci_35667
HG781247	Enter_faeci_35667
HG781248	Enter_faeci_35667
HG781249	Enter_faeci_35667
HG781250	Enter_faeci_35667
HG781251	Enter_faeci_35667
HG781252	Enter_faeci_35667
HG781253	Enter_faeci_35667
HG781254	Enter_faeci_35667
HG781255	Enter_faeci_35667
HG781256	Enter_faeci_35667
HG781257	Enter_faeci_35667
HG781258	Enter_faeci_35667
HG781259	Enter_faeci_35667
HG781260	Enter_faeci_35667
HG781261	Enter_faeci_35667
HG781262	Enter_faeci_35667
HG781263	Enter_faeci_35667
HG781264	Enter_faeci_35667
HG781265	Enter_faeci_35667
HG781266	Enter_faeci_35667
HG781267	Enter_faeci_35667
HG781268	Enter_faeci_35667
HG781269	Enter_faeci_35667
HG781270	Enter_faeci_35667
HG781271	Enter_faeci_35667
HG781272	Enter_faeci_35667
HG781273	Enter_faeci_35667
HG781274	Enter_faeci_35667
HG781275	Enter_faeci_35667
HG781276	Enter_faeci_35667
HG781277	Enter_faeci_35667
HG781278	Enter_faeci_35667
HG781279	Enter_faeci_35667
HG781280	Enter_faeci_35667
HG781281	Enter_faeci_35667
HG781282	Enter_faeci_35667
HG781283	Enter_faeci_35667
HG781284	Enter_faeci_35667
HG781285	Enter_faeci_35667
HG781286	Enter_faeci_35667
HG781287	Enter_faeci_35667
HG781288	Enter_faeci_35667
HG781289	Enter_faeci_35667
HG781290	Enter_faeci_35667
HG781291	Enter_faeci_35667
HG781292	Enter_faeci_35667
HG781293	Enter_faeci_35667
HG781294	Enter_faeci_35667
HG781295	Enter_faeci_35667
HG781296	Enter_faeci_35667
HG781297	Enter_faeci_35667
HG781298	Enter_faeci_35667
HG781299	Enter_faeci_35667
HG781300	Enter_faeci_35667
HG781301	Enter_faeci_35667
HG781302	Enter_faeci_35667
HG781303	Enter_faeci_35667
HG781304	Enter_faeci_35667
HG781305	Enter_faeci_35667
HG781306	Enter_faeci_35667
HG781307	Enter_faeci_35667
HG781308	Enter_faeci_35667
HG781309	Enter_faeci_35667
HG781310	Enter_faeci_35667
HG781311	Enter_faeci_35667
HG781312	Enter_faeci_35667
HG781313	Enter_faeci_35667
HG781314	Enter_faeci_35667
HG781315	Enter_faeci_35667
HG781316	Enter_faeci_35667
HG781317	Enter_faeci_35667
HG781318	Enter_faeci_35667
HG781319	Enter_faeci_35667
HG781320	Enter_faeci_35667
HG781321	Enter_faeci_35667
HG781322	Enter_faeci_35667
HG781323	Enter_faeci_35667
HG781324	Enter_faeci_35667
HG781325	Enter_faeci_35667
HG781326	Enter_faeci_35667
HG781327	Enter_faeci_35667
HG781328	Enter_faeci_35667
HG781329	Enter_faeci_35667
HG781330	Enter_faeci_35667
HG781331	Enter_faeci_35667
HG781332	Enter_faeci_35667
HG781333	Enter_faeci_35667
HG781334	Enter_faeci_35667
HG781335	Enter_faeci_35667
HG781336	Enter_faeci_35667
HG781337	Enter_faeci_35667
HG781338	Enter_faeci_35667
HG781339	Enter_faeci_35667
HG781340	Enter_faeci_35667
HG781341	Enter_faeci_35667
HG781342	Enter_faeci_35667
HG781343	Enter_faeci_35667
HG781344	Enter_faeci_35667
HG781345	Enter_faeci_35667
HG781346	Enter_faeci_35667
HG781347	Enter_faeci_35667
HG781348	Enter_faeci_35667
HG781349	Enter_faeci_35667
HG781350	Enter_faeci_35667
HG781351	Enter_faeci_35667
HG781352	Enter_faeci_35667
HG781353	Enter_faeci_35667
HG781354	Enter_faeci_35667
HG781355	Enter_faeci_35667
HG781356	Enter_faeci_35667
HG781357	Enter_faeci_35667
HG781358	Enter_faeci_35667
HG781359	Enter_faeci_35667
HG781360	Enter_faeci_35667
HG781361	Enter_faeci_35667
HG781362	Enter_faeci_35667
HG781363	Enter_faeci_35667
HG781364	Enter_faeci_35667
HG781365	Enter_faeci_35667
HG781366	Enter_faeci_35667
HG781367	Enter_faeci_35667
HG781368	Enter_faeci_35667
HG781369	Enter_faeci_35667
HG781370	Enter_faeci_35667
HG781371	Enter_faeci_35667
HG781372	Enter_faeci_35667
HG781373	Enter_faeci_35667
HG781374	Enter_faeci_35667
HG781375	Enter_faeci_35667
HG781376	Enter_faeci_35667
HG781377	Enter_faeci_35667
HG781378	Enter_faeci_35667
HG781379	Enter_faeci_35667
HG781380	Enter_faeci_35667
HG781381	Enter_faeci_35667
HG781382	Enter_faeci_35667
HG781383	Enter_faeci_35667
HG781384	Enter_faeci_35667
HG781385	Enter_faeci_35667
HG781386	Enter_faeci_35667
HG781387	Enter_faeci_35667
HG781388	Enter_faeci_35667
HG781389	Enter_faeci_35667
HG781390	Enter_faeci_35667
HG781391	Enter_faeci_35667
HG781392	Enter_faeci_35667
HG781393	Enter_faeci_35667
HG781394	Enter_faeci_35667
HG781395	Enter_faeci_35667
HG781396	Enter_faeci_35667
HG781397	Enter_faeci_35667
HG781398	Enter_faeci_35667
HG781399	Enter_faeci_35667
HG781400	Enter_faeci_35667
HG781401	Enter_faeci_35667
HG781402	Enter_faeci_35667
HG781403	Enter_faeci_35667
HG781404	Enter_faeci_35667
HG781405	Enter_faeci_35667
HG781406	Enter_faeci_35667
HG781407	Enter_faeci_35667
HG781408	Enter_faeci_35667
HG781409	Enter_faeci_35667
HG781410	Enter_faeci_35667
HG781411	Enter_faeci_35667
HG781412	Enter_faeci_35667
HG781413	Enter_faeci_35667
HG781414	Enter_faeci_35667
HG781415	Enter_faeci_35667
HG781416	Enter_faeci_35667
HG781417	Enter_faeci_35667
HG781418	Enter_faeci_35667
HG781419	Enter_faeci_35667
HG781420	Enter_faeci_35667
HG781421	Enter_faeci_35667
HG781422	Enter_faeci_35667
HG781423	Enter_faeci_35667
HG781424	Enter_faeci_35667
HG781425	Enter_faeci_35667
HG781426	Enter_faeci_35667
HG781427	Enter_faeci_35667
HG781428	Enter_faeci_35667
HG781429	Enter_faeci_35667
HG781430	Enter_faeci_35667
HG781431	Enter_faeci_35667
HG781432	Enter_faeci_35667
HG781433	Enter_faeci_35667
HG781434	Enter_faeci_35667
HG781435	Enter_faeci_35667
HG781436	Enter_faeci_35667
HG781437	Enter_faeci_35667
HG781438	Enter_faeci_35667
HG781439	Enter_faeci_35667
HG781440	Enter_faeci_35667
HG781441	Enter_faeci_35667
HG781442	Enter_faeci_35667
HG781443	Enter_faeci_35667
HG781444	Enter_faeci_35667
HG781445	Enter_faeci_35667
HG781446	Enter_faeci_35667
HG781447	Enter_faeci_35667
HG781448	Enter_faeci_35667
HG781449	Enter_faeci_35667
HG781450	Enter_faeci_35667
HG781451	Enter_faeci_35667
HG781452	Enter_faeci_35667
HG781453	Enter_faeci_35667
HG781454	Enter_faeci_35667
HG781455	Enter_faeci_35667
HG781456	Enter_faeci_35667
HG781457	Enter_faeci_35667
HG781458	Enter_faeci_35667
HG781459	Enter_faeci_35667
HG781460	Enter_faeci_35667
HG781461	Enter_faeci_35667
HG781462	Enter_faeci_35667
HG781463	Enter_faeci_35667
HG781464	Enter_faeci_35667
HG781465	Enter_faeci_35667
HG781466	Enter_faeci_35667
HG781467	Enter_faeci_35667
HG781468	Enter_faeci_35667
HG781469	Enter_faeci_35667
HG781470	Enter_faeci_35667
HG781471	Enter_hirae_9790
HG781472	Enter_hirae_9790
HG781473	Enter_hirae_9790
HG781474	Enter_hirae_9790
HG781475	Enter_hirae_9790
HG781476	Enter_hirae_9790
HG781477	Tetra_halop_NBR121
HG781478	Bacil_liche_14580
HG781479	Bacil_liche_14580
HG781480	Bacil_liche_14580
HG781481	Bacil_coagu_36D1
HG781482	Bacil_coagu_26
HG781483	Ocean_iheye_HTE831
HG781484	Bacil_cereu_E33L
HG781485	Bacil_cereu_E33L
HG781486	Bacil_cereu_E33L
HG781487	Bacil_cereu_E33L
HG781488	Bacil_cereu_E33L
HG781489	Bacil_cereu_E33L
HG781490	Bacil_cereu_E33L
HG781491	Bacil_cereu_E33L
HG781492	Bacil_cereu_E33L
HG781493	Bacil_cereu_E33L
HG781494	Bacil_cereu_E33L
HG781495	Bacil_cereu_E33L
HG781496	Bacil_cereu_E33L
HG781497	Bacil_cereu_E33L
HG781498	Bacil_cereu_E33L
HG781499	Bacil_cereu_E33L
HG781500	Bacil_cereu_E33L
HG781501	Bacil_cereu_E33L
HG781502	Bacil_cereu_14579
HG781503	Bacil_cereu_14579
HG781504	Bacil_cereu_14579
HG781505	Bacil_cereu_14579
HG781506	Bacil_cereu_14579
HG781507	Bacil_cereu_14579
HG781508	Bacil_cereu_14579
HG781509	Bacil_cereu_14579
HG781510	Bacil_cereu_14579
HG781511	Bacil_cereu_14579
HG781512	Bacil_cereu_14579
HG781513	Bacil_cereu_14579
HG781514	Bacil_cereu_14579
HG781515	Bacil_cereu_14579
HG781516	Bacil_cereu_14579
HG781517	Bacil_cereu_14579
HG781518	Bacil_cereu_14579
HG781519	Bacil_cereu_14579
HG781520	Bacil_cereu_14579
HG781521	Bacil_cereu_14579
HG781522	Bacil_cereu_14579
HG781523	Bacil_cereu_14579
HG781524	Bacil_cereu_14579
HG781525	Bacil_cereu_14579
HG781526	Bacil_cereu_14579
HG781527	Bacil_cereu_14579
HG781528	Bacil_cereu_14579
HG781529	Bacil_cereu_14579
HG781530	Bacil_cereu_14579
HG781531	Bacil_cereu_14579
HG781532	Bacil_cereu_14579
HG781533	Bacil_cereu_14579
HG781534	Bacil_cereu_14579
HG781535	Bacil_cereu_14579
HG781536	Bacil_cereu_14579
HG781537	Bacil_cereu_14579
HG781538	Bacil_cereu_14579
HG781539	Bacil_cereu_14579
HG781540	Bacil_cereu_14579
HG781541	Bacil_cereu_14579
HG781542	Bacil_cereu_14579
HG781543	Bacil_cereu_14579
HG781544	Bacil_cereu_14579
HG781545	Bacil_cereu_14579
HG781546	Bacil_cereu_14579
HG781547	Bacil_cereu_14579
HG781548	Bacil_cereu_14579
HG781549	Bacil_cereu_14579
HG781550	Bacil_cereu_14579
HG781551	Bacil_cereu_14579
HG781552	Bacil_cereu_14579
HG781553	Bacil_cereu_14579
HG781554	Bacil_cereu_14579
HG781555	Bacil_cereu_14579
HG781556	Bacil_cereu_14579
HG781557	Bacil_cereu_14579
HG781558	Bacil_cereu_14579
HG781559	Bacil_cereu_14579
HG781560	Bacil_cereu_14579
HG781561	Bacil_cereu_14579
HG781562	Bacil_cereu_14579
HG781563	Bacil_cereu_14579
HG781564	Bacil_cereu_14579
HG781565	Bacil_cereu_14579
HG781566	Bacil_cereu_14579
HG781567	Bacil_cereu_14579
HG781568	Bacil_cereu_14579
HG781569	Bacil_cereu_14579
HG781570	Bacil_cereu_14579
HG781571	Bacil_cereu_14579
HG781572	Bacil_cereu_14579
HG781573	Bacil_cereu_14579
HG781574	Bacil_cereu_14579
HG781575	Bacil_cereu_14579
HG781576	Bacil_cereu_14579
HG781577	Bacil_cereu_14579
HG781578	Bacil_cereu_14579
HG781579	Bacil_cereu_14579
HG781580	Bacil_cereu_14579
HG781581	Bacil_cereu_14579
HG781582	Bacil_cereu_14579
HG781583	Bacil_cereu_14579
HG781584	Bacil_cereu_14579
HG781585	Bacil_cereu_14579
HG781586	Bacil_cereu_14579
HG781587	Bacil_cereu_14579
HG781588	Bacil_cereu_14579
HG781589	Bacil_cereu_14579
HG781590	Bacil_cereu_14579
HG781591	Bacil_cereu_14579
HG781592	Bacil_cereu_14579
HG781593	Bacil_cereu_14579
HG781594	Bacil_cereu_03BB10
