HG519303	Geoba_sp_WCH70
HG519304	Geoba_therm_NG802
HG519305	Geoba_kaust_HTA426
HG519306	Geoba_kaust_HTA426
HG519307	Geoba_kaust_HTA426
HG519308	Geoba_kaust_HTA426
HG519309	Geoba_kaust_HTA426
HG519310	Geoba_kaust_HTA426
HG519311	Geoba_stear_10
HG519312	Geoba_stear_10
HG519313	Geoba_stear_10
HG519314	Nitro_sp_AL212
HG519315	Nitro_sp_Is79A3
HG519316	Petro_mobil_SJ95
HG519317	Kangi_koree_16069
HG519318	Lawso_intra_PHEMN1
HG519319	Lawso_intra_PHEMN1
HG519320	Lawso_intra_PHEMN1
HG519321	Lawso_intra_PHEMN1
HG519322	Lawso_intra_PHEMN1
HG519323	Lawso_intra_PHEMN1
HG519324	Hippe_marit_10411
HG519325	Turne_parva_21527
HG519326	Dehal_sp_VS
HG519327	Dehal_sp_VS
HG519328	Dehal_sp_CBDB1
HG519329	Dehal_sp_CBDB1
HG519330	Dehal_sp_CBDB1
HG519331	Dehal_sp_CBDB1
HG519332	Dehal_sp_CBDB1
HG519333	Dehal_ethen_195
HG519334	Dehal_ethen_195
HG519335	Dehal_ethen_195
HG519336	Dehal_lykan_BLDC9
HG519337	Eubac_limos_KIST61
HG519338	Selen_sputi_35185
HG519339	Selen_sputi_35185
HG519340	Selen_sputi_35185
HG519341	Enter_duran_CNRZ12
HG519342	Enter_duran_CNRZ12
HG519343	Enter_duran_CNRZ12
HG519344	Enter_duran_CNRZ12
HG519345	Enter_duran_CNRZ12
HG519346	Enter_faeci_35667
HG519347	Enter_faeci_35667
HG519348	Enter_faeci_35667
HG519349	Enter_faeci_35667
HG519350	Enter_faeci_35667
HG519351	Enter_faeci_35667
HG519352	Enter_faeci_35667
HG519353	Enter_faeci_35667
HG519354	Enter_faeci_35667
HG519355	Enter_faeci_35667
HG519356	Enter_faeci_35667
HG519357	Enter_faeci_35667
HG519358	Enter_faeci_35667
HG519359	Enter_faeci_35667
HG519360	Enter_faeci_35667
HG519361	Enter_faeci_35667
HG519362	Enter_faeci_35667
HG519363	Enter_faeci_35667
HG519364	Enter_faeci_35667
HG519365	Enter_faeci_35667
HG519366	Enter_faeci_35667
HG519367	Enter_faeci_35667
HG519368	Enter_faeci_35667
HG519369	Enter_faeci_35667
HG519370	Enter_faeci_35667
HG519371	Enter_faeci_35667
HG519372	Enter_faeci_35667
HG519373	Enter_faeci_35667
HG519374	Enter_faeci_35667
HG519375	Enter_faeci_35667
HG519376	Enter_faeci_35667
HG519377	Enter_faeci_35667
HG519378	Enter_faeci_35667
HG519379	Enter_faeci_35667
HG519380	Enter_faeci_35667
HG519381	Enter_faeci_35667
HG519382	Enter_faeci_35667
HG519383	Enter_faeci_35667
HG519384	Enter_faeci_35667
HG519385	Enter_faeci_35667
HG519386	Enter_faeci_35667
HG519387	Enter_faeci_35667
HG519388	Enter_faeci_35667
HG519389	Enter_faeci_35667
HG519390	Enter_faeci_35667
HG519391	Enter_faeci_35667
HG519392	Enter_faeci_35667
HG519393	Enter_faeci_35667
HG519394	Enter_faeci_35667
HG519395	Enter_faeci_35667
HG519396	Enter_faeci_35667
HG519397	Enter_faeci_35667
HG519398	Enter_faeci_35667
HG519399	Enter_faeci_35667
HG519400	Enter_faeci_35667
HG519401	Enter_faeci_35667
HG519402	Enter_faeci_35667
HG519403	Enter_faeci_35667
HG519404	Enter_faeci_35667
HG519405	Enter_faeci_35667
HG519406	Enter_faeci_35667
HG519407	Enter_faeci_35667
HG519408	Enter_faeci_35667
HG519409	Enter_faeci_35667
HG519410	Enter_faeci_35667
HG519411	Enter_faeci_35667
HG519412	Enter_faeci_35667
HG519413	Enter_faeci_35667
HG519414	Enter_faeci_35667
HG519415	Enter_faeci_35667
HG519416	Enter_faeci_35667
HG519417	Enter_faeci_35667
HG519418	Enter_faeci_35667
HG519419	Enter_faeci_35667
HG519420	Enter_faeci_35667
HG519421	Enter_faeci_35667
HG519422	Enter_faeci_35667
HG519423	Enter_faeci_35667
HG519424	Enter_faeci_35667
HG519425	Enter_faeci_35667
HG519426	Enter_faeci_35667
HG519427	Enter_faeci_35667
HG519428	Enter_faeci_35667
HG519429	Enter_faeci_35667
HG519430	Enter_faeci_35667
HG519431	Enter_faeci_35667
HG519432	Enter_faeci_35667
HG519433	Enter_faeci_35667
HG519434	Enter_faeci_35667
HG519435	Enter_faeci_35667
HG519436	Enter_faeci_35667
HG519437	Enter_faeci_35667
HG519438	Enter_faeci_35667
HG519439	Enter_faeci_35667
HG519440	Enter_faeci_35667
HG519441	Enter_faeci_35667
HG519442	Enter_faeci_35667
