HG790517	Zymom_mobil_NCI111	HG790518
HG790518	Zymom_mobil_NCI111	HG790517
HG790519	Zymom_mobil_NCI111	HG790520
HG790520	Zymom_mobil_NCI111	HG790519
HG790521	Zymom_mobil_NCI111	HG790522
HG790522	Zymom_mobil_NCI111	HG790521
HG790523	Zymom_mobil_29192	HG790524
HG790524	Zymom_mobil_29192	HG790523
HG790525	Rhodo_palus_BisB18.2	HG790526
HG790526	Rhodo_palus_BisB18.2	HG790525
HG790527	Granu_bethe_CGDNIH	HG790528
HG790528	Granu_bethe_CGDNIH	HG790527
HG790529	Granu_bethe_CGDNIH	HG790530
HG790530	Granu_bethe_CGDNIH	HG790529
HG790531	Proch_marin_AS9601	HG790532
HG790532	Proch_marin_AS9601	HG790531
HG790533	Proch_marin_AS9601	HG790534
HG790534	Proch_marin_AS9601	HG790533
HG790535	Proch_marin_AS9601	none
HG790536	Proch_marin_AS9601	none
HG790537	Proch_marin_AS9601	none
HG790538	Proch_marin_AS9601	none
HG790539	Proch_marin_AS9601	none
HG790540	Proch_marin_AS9601	HG790541
HG790541	Proch_marin_AS9601	HG790540
HG790542	Proch_marin_9301	HG790543
HG790543	Proch_marin_9301	HG790542
HG790544	Proch_marin_9301	HG790545
HG790545	Proch_marin_9301	HG790544
HG790546	Proch_marin_9301	HG790547
HG790547	Proch_marin_9301	HG790546
HG790548	Proch_marin_9301	HG790549
HG790549	Proch_marin_9301	HG790548
HG790550	Proch_marin_9301	HG790551
HG790551	Proch_marin_9301	HG790550
HG790552	Proch_marin_9301	none
HG790553	Proch_marin_9301	HG790554
HG790554	Proch_marin_9301	HG790553
HG790555	Proch_marin_9301	HG790556
HG790556	Proch_marin_9301	HG790555
HG790557	Proch_marin_9301	HG790558
HG790558	Proch_marin_9301	HG790557
HG790559	Proch_marin_9301	HG790560
HG790560	Proch_marin_9301	HG790559
HG790561	Proch_marin_9301	HG790562
HG790562	Proch_marin_9301	HG790561
HG790563	Proch_marin_9301	HG790564
HG790564	Proch_marin_9301	HG790563
HG790565	Proch_marin_9301	HG790566
HG790566	Proch_marin_9301	HG790565
HG790567	Proch_marin_9301	none
HG790568	Proch_marin_9301	HG790569
HG790569	Proch_marin_9301	HG790568
HG790570	Proch_marin_9301	HG790571
HG790571	Proch_marin_9301	HG790570
HG790572	Proch_marin_9301	HG790573
HG790573	Proch_marin_9301	HG790572
HG790574	Proch_marin_9301	HG790575
HG790575	Proch_marin_9301	HG790574
HG790576	Proch_marin_9301	HG790577
HG790577	Proch_marin_9301	HG790576
HG790578	Proch_marin_9215	HG790579
HG790579	Proch_marin_9215	HG790578
HG790580	Proch_marin_9312	HG790581
HG790581	Proch_marin_9312	HG790580
HG790582	Proch_marin_1986	HG790583
HG790583	Proch_marin_1986	HG790582
HG790584	Proch_marin_9515	HG790585
HG790585	Proch_marin_9515	HG790584
HG790586	Proch_marin_9303	HG790587
HG790587	Proch_marin_9303	HG790586
HG790588	Proch_marin_9211	HG790589
HG790589	Proch_marin_9211	HG790588
HG790590	Proch_marin_1375	HG790591
HG790591	Proch_marin_1375	HG790590
HG790592	Proch_marin_9313	HG790593
HG790593	Proch_marin_9313	HG790592
HG790594	Proch_marin_9313	HG790595
HG790595	Proch_marin_9313	HG790594
HG790596	Rhodo_sphae_17025	HG790597
HG790597	Rhodo_sphae_17025	HG790596
HG790598	Roseo_litor_Och149	HG790599
HG790599	Roseo_litor_Och149	HG790598
HG790600	Synec_sp_WH780	HG790601
HG790601	Synec_sp_WH780	HG790600
HG790602	Caulo_segni_21756	HG790603
HG790603	Caulo_segni_21756	HG790602
HG790604	Caulo_cresc_CB15	HG790605
HG790605	Caulo_cresc_CB15	HG790604
HG790606	Caulo_cresc_CB15	HG790607
HG790607	Caulo_cresc_CB15	HG790606
